idx,label,text
11,alt.atheism,"
So that still leaves the door totally open for Khomeini, Hussein
et rest. They could still be considered true Muslims, and you can't
judge them, because this is something between God and the person.

You have to apply your rule as well with atheists/agnostics, you
don't know their belief, this is something between them and God.

So why the hoopla about Khomeini not being a real Muslim, and the
hoopla about atheists being not real human beings?

Cheers,
Kent"
12,alt.atheism,"
: When the object of their belief is said to be perfect and make the believers
: act in a certain way and we observe that they don't, we have a contradiction.
: Something defined contradictorily cannot exist. That what the believe in does
: not exist. Secondly, there are better explanations for why they believe than
: the existence of the object of their belief.
:  
:  
: Have you read the FAQ already?
:    Benedikt

Benedikt,

I can't recall anyone claiming that God -makes- anyone act a particlar
way, I think that you're attempting to manufacture a contradiction.
God is said to require certain behavior, but the only compulsion is
the believer's sense of duty. A standard of conduct does exist, but we
are free to ignore it or misunderstand it or distort it in whatever
ways we find convenient, but our response to God's edicts can in no
way be used to question God's existence. The behavior of believers is
a completely separate question from that of God's existence; there is
nothing contradictory here.

To say that something defined contadictorily cannot exist, is really
asking too much; you would have existence depend on grammar. All you
can really say is that something is poorly defined, but that in itself
is insufficient to decide anything (other than confusion of course).

Your point that there are better reasons for the phenomenon of belief
than the object of belief may lead to a rat's nest of unnecessary
complexity. I think I know what you're implying, but I'd like to see
your version of this better alternative just the same."
13,alt.atheism,"



It is good to remember that every translation is to some extent an
interpretation, so (as you point out below) one must really go back to
the original Arabic.  Regarding the verses relevant to nature, I prefer
to use Dr. Maurice Bucaille's translations (in his book, ""The Bible, the
Qur'an and Science"") for in general his translations are more literal.
 
Maurice Bucaille translates the portion of the verse you are addressing
as 

""...Each one is travelling with an orbit in its own motion.""

(Also note that ""the celestial bodies"" in the first translation quoted
by you above is the translator's interpolation -- it is not existent in
the original Arabic, which is why it is included in brackets.) 


You're right, what the verses _do_ contain isn't all that remarkable.

However, Dr. Bucaille (a surgeon, that's how he's a ""Dr."") thinks it is
significant that the above verse contains no geocentric ideas, even
though geocentrism was all the rage up until the 17th century (?) or so.
(And this goes for the rest of the Qur'an as well, which has about 750
verses or so regarding nature, I think I remember reading once.)"
14,alt.atheism,"
: Upon arriving at home, Joseph probably took advantage of Mary...had his way
: with her so to speak.  Of course, word of this couldn't get around so Mary,
: being the highly-religious follower that she was decided ""Hey, I'll just say
: that GOD impregnated me...no one will ever know!""
: 
: Thus, seen as a trustworthy and honorable soul, she was believed...
:     
: And then came Jesus, the child born from violence.
: 
: 
: 

Dave,

Can you explain the purpose of your post, I can't imagine what you
must have thougt it meant. "
15,talk.religion.misc,"iank@microsoft.com (Ian Kennedy) writes...


More along the lines of Hebrews 12:25-29, I reckon...

	See that you refuse not him that speaks. For if they
	escaped not who refused him that spake on earth, much 
	more shall not we escape, if we turn away from him that 
	speaks from heaven:

	Whose voice then shook the earth: but now he has promised,
	saying, Yet once more I shake not the earth only, but also
	heaven.

	And this word, Yet once more, signifies the removing of
	those things that are shaken, as of things that are made,
	that those things which cannot be shaken may remain.

	Wherefore we receiving a kingdom which cannot be moved, 
	let us have grace, whereby we may serve God acceptably 
	with reverence and godly fear:

	For our God is a consuming fire.


Or 2nd Thessalonians 1:7-10...

	And to you who are troubled rest with us, when the Lord
	Jesus shall be revealed from heaven with his mighty angels,
 	In flaming fire taking vengeance on them that know not God,
	and that obey not the gospel of our Lord Jesus Christ:

	Who shall be punished with everlasting destruction from 
	the presence of the Lord, and from the glory of his power;
 	When he shall come to be glorified in his saints, and to be
	admired in all them that believe (because our testimony 
	among you was believed) in that day. 


Kinda gives Flaming a whole new meaning, I reckon. 

			      - < > -

The impression I got from talking with Livingston was that the coming
of the Lord, power-wise, is going to be something that those who are
unprepared can't handle -- kinda like overloading a fuse -- due to 
guilt. Somehow it seems to also apply to the entire physical world as 
we know it. LF suggests that God doesn't want that and has sent Koresh 
as a reminder. 

Seems that those who have been purified through salvation, or that those
protected by the Seals, will be the ones who survive. And no -- I don't 
have a good idea yet what ""being shielded by the seals"" actually involves 
or how exactly it relates to salvation. (Other than it involves the
marriage of the Bridegroom and the Bride... for those of you Biblical
well versed.)
			     - < > -

Me personally, I'm totally 100% dependent on God through Christ, so 
if God wants me to understand, good. If not, also good. If God wants
to save me, or dispose of me, that's great either way. Being born in
the Spirit, means being part of the Body of Christ (Ephesians 2), so
who and what I was, matters little. * What's important is loving GOD *

Come Nova, Nuke, or Apocalypse -- who cares? Satan might even be able 
to pull off a pretty convincing fake. Big deal. Not worth fearing or 
worrying about though, not before:


		   -* The Greater Glory of GOD *-
 	

Maybe Koresh is right, maybe he isn't, and it should be interesting to 
see the new message (or prophecy). The tour of the Bible I've taken in 
studying the passages he points to in the 3-02 text, has been most re-
warding. But the test of prophecy is still the fruit it bears -- which 
is not yet clear. 

Much much more important is ""Charity"" -- which by definition *is* --

	                   Love for GOD

(I hope Dear Reader, you've taken all this as an expression of faith, 
 and not a statement of mere fact. Seems many folks get real upset at 
 reminders. ;-)"
16,talk.religion.misc,"

Well, there is a fair amount of evidence floating around that indicates
that OTO has been around since at least the late 1800s, long before
Crowley ever heard of it, how long has AMORC been around? (yes, I know
that they claim to have existed as an organization clear into prehistory,
but I doubt that they have any organizational paperwork
as a non-profit that can be carbon-dated to 20,000 BC)
                                             A.Lizard
"
17,talk.religion.misc,"
Ref: Encyclopedia of Religion, Mircea Eliade

MAGI: 

[Sneak Preview: Later still, eschatology and apocalyptics were a fertile meeting
 ground for Iranian and Judeo-Christian religions, as can be seen in the famous
 _Oracles of Hystaspes_, a work whose Iranian roots are undeniable and which
 most likely dates from the beginning of the Christian era, probably the
 second century CE (Widengren, 1968). The Zoroastrian doctrine of the Savior of
 the Future (Saoshyant) was the basis for the story of the coming of the Magi
 to Bethlehem in the _Gospel of Matthew_ (2:1-12).]

  The Old Persian word magu, rendered in Greek by magos, is of uncertain 
etymology. It may originally have meant ""member of the tribe,"" as in the
Avestan compound mogu-tbish (""hostile to a member of the tribe""). This meaning
would have been further resticted, among the Medes, to ""member of the priestly
tribe"" and perhaps to ""priest"" (Benveniste, 1938; Boyce, 1982). The term is
probably of Median origin, given that Herodotus mentions the ""Magoi"" as one of
the six tribes of the Medes.
  For a variety of reasons we can consider the Magi to have been members of a
priestly tribe of Median origin in western Iran. Among the Persians, they were
responsible for liturgical functions, as well as for maintaining their
knowledge of the holy and the occult. Most likely, the supremacy of the Median
priesthood in western Iran became established during the time of the Median
monarchy that dominated the Persians from the end of the eighth century
through the first half of the sixth century BCE until the revolt of Cyrus the
Great (550 BCE). The Persians were indebted to the Medes for their political
and civil institutions as well. Even if hypotheses have been advanced
concerning the existence of Magi of Persian origin in the Achaemenid period
(Boyce, 1982), we must still maintain that they were of Median origin. This is
demonstrated by the eposide of the revolt of Gaumata the Magian, mentioned by
Darius I (522-486 BCE) in the inscription at Bisutun (Iran), as well as by
Greek sources. Indeed, Herodotus insists on the idea of the usurpatory power of
the Medes against the Persians through the conspiracy of the Magi.
  The fact that the Magi may have been members of a tribe that handed down the
sacerdotal arts in a hereditary fashion naturally did not exclude the
possibility that some of them undertook secular prefessions. This seems to be
attested by the Elamite tablets at Persepolis.
  There is a theses, put forth by Giuseppe Messina, that denies that the Magi
are members of an ethnic group by suggesting that they are simply members of
the priesthood - a priesthood of purely Zoroastrian origin. This thesis is
untenable; on the other hand, the hypothesis that their name is related to the
Avestan term magavan, derived from the Gathic maga (Vedic, magha, ""gift""), is
not without foundation (Mole, 1963). The meaning of maga can probably be found,
in conformity with the Pahlavi tradition, within the context of the concept of
purity, or separation of the ""mixture"" of the two opposed principles of spirit
and matter. The maga, which has been erroneously interpreted as ""chorus,"" from
the root mangh, which is said to mean ""sing the magic song"" (Nyberg, 1966) and
has been rendered simply by an expression like unio mystica, seems to be an
ecstatic condition that opens the mind to spiritual vision. In any case, though
there may be a relation between the Old Persian term magu and the Avestan terms
magavan and maga, we must maintain a clear distinction between the Magi and the
Avestan priesthood. The Avesta ignores the Median or Old Persian term, despite
a recent hypothesis proposed by H.W. Bailey; Old Persian inscriptions ignore
the Avestan term for ""priest,"" athravan (Vedic, athravan), even if this is 
perhaps present in an Achaeminid setting in the Elamite tablets of Persepolis 
(Gershevitch, 1964).
  The term magu has been present in Zoroastrianism throughout its history; the
Pahlavi terms mogh-mard and mobad represent its continuation. The latter in
particular derives from an older form, magupati (""head of the Magi""). During
the Sasanid period (third to seventh centuries CE), which saw the formation of
a hierarchically organized church, the title mobadan mobad (""the high priest of
high priests"") came to be used to designate the summit of the ecclesiastical
hierarchy.
  The Magi practiced consanguineous marriage, or khvaetvadatha (Av.; Pahl.,
khwedodah). They also performed a characteristic funeral rite: the exposure of
the corpse to animals and vultures to remove the flesh and thereby cleanse it.
The corpse was not supposed to decompose, lest it be contaminated by the demons
of putrefaction. This practice later became typical of the entire Zoroastrian
community and led to the rise of a complex funeral ritual in Iran and among the
Parsis in India. Stone towers, known as dakhmas, were built especially for this
rite. During the time of Herodotus the practice of exposure of the corpse was
in vogue only among the Magi; the Persians generally sprinkled the corpse with
wax, then buried it. The practice was widespread, however, among the peoples
of Central Asia.
  The Magi were the technicians of and experts on worship: it was impossible to
offer sacrifices without the presence of a Magus. During the performance of a
ritual sacrifice, the Magus sang of the theogony (the Magi were possibly the
custodians of a tradition of sacred poetry, but we know nothing about the
relationship of this tradition to the various parts of the Avesta) and was
called upon to interpret dreams and to divine the future. The Magi were also
known for the practice of killing harmful, or ""Ahrimanical,"" animals (khrafstra)
such as snakes and ants. They dressed in the Median style, wearing pants,
tunics, and coats with sleeves. They wore a characteristic head covering of
felt (Gr. tiara) with strips on the sides that could be used to cover the nose
and mouth during rituals to avoid contaminating consecrated objects with their
breath (Boyce, 1982). The color of these caps, in conformity with a tradition
that is probably of Indo-European origin, according to Georges Dumezil, was
that of the priesthood: white.
  In all likelihood, during the Achaemenid period the Magi were not in
possession of a well-defined body of doctrine, and it is probable that they
gradually adopted Zoroastrianism; they were most likely a clergy consisting of
professional priests who were not tied to a rigid orthodoxy but were naturally
inclined to eclecticism and syncretism. Nonetheless, they must have been
jealous guardians of the patrimony of Zorastrian traditions. By virtue of this
they were the educators of the royal princes. The wisest of them was responsible
for teaching the prince the ""magic of Zarathushtra, son of Horomazes"" and thus
the ""cult of the gods."" Magi who excelled in other virtues were entrusted with
the education of the prince so that he would learn to be just, courageous, and
master of himself.
  During the Achaemenid period the Magi maintained a position of great
influence, although they were certainly subordinate to the emperor. Despite
several dramatic events such as the massacre they suffered after the death of
Gaumata the Magian - in which, according to Herodotus (who calls himself
Smerdis), the Persians killed a large number of Magi to avenge the usurpation -
the Magi nevertheless managed to maintain their influence at court in Media,
in Persia, and in the various regions of the empire where they were stationed
as a consequence of the Persian civilian and military administration.
  No priesthood of antiquity was more famous than that of the Magi. They were
renowned as followers of Zarathushtra (Zoroaster); as the teachers of some of
the greatest Greek thinkers (Pythagoras, Democritus, Plato); as the wise men
who arrived, guided by a star, at the manger of the newborn savior in
Bethlehem; and as the propagators of a cult of the sun in India. But they were
also known as the Chaldeans, the priesthood of Babylon, known for its occultism;
this was perhaps the reason that the term magos had a pejorative sense in Greek,
like ""goes,"" ""expert in the magic arts"" (Bidez and Cumont, 1938). Indeed, the
Chaldeans were experts in all types of magical arts, especially astrology, and
had a reputation for wisdom as well as knowledge.
  To understand the reasons for such various and sometimes discordant views, it
is necessary to distinguish between the Magi of Iran proper and the so-called
western Magi, who were later hellenized. In the Achaemenid period both must
have been at least in part Zoroastrian, but the western Magi (those of the
Iranian diaspora in Asia Minor, Syria, Mesopotamia, and Armenia), who came in
contact with diverse religious traditions, must have, sooner or later and in
varying degrees, been influenced by syncretic concepts.
  The Greeks were familiar with both kinds of Magi and, depending on their
varying concerns, would emphasize one or the other aspect of them. Classical
historians and geographers, including Herodotus and Strabo, document their
customs, while the philosophers dwell above all on their doctrines: dualism,
belief in the hereafter, Magian cosmology and cosmogony, and their theology
and eschatology. Those sources most interested in the doctrines of the Magi
even speak of Zarathushtra as a Magus. In doing so they are repeating what the
Magi themselves said from the Median and Achaemenid periods, when they adopted
Zoroastrianism. At that time they embraced Zarathushtra as one of their own and
placed themselves under his venerable name.
  Zoroastrianism had already undergone several profound transformations in the
eastern community by the time of the Acheamenids and was already adapting those
elements of the archaic religion that refused to die. It has been said quite
often, in an attempt to characterize the precise role of the Magi in the
Zoroastrian tradition, that the Vendidad (from vi-daevo-data, ""the law-abjuring
daivas""), part of the Avesta, should be attributed to them. (This collection of
texts from various periods is primarily concerned with purificatory rules and
practices.) Nonetheless, the hypothesis is hardly plausible, since the first
chapter of the Vendidad - a list of sixteen lands created by Ahura Mazda, the
supreme god of Zoroastrianism, but contaminated by an attack by Ahriman (Pahl.;
Gathic-Avestan, Angra Mainyu), the other supreme god and the ultimate source of
all evil and suffering - does not mention western Iran, Persia, or Media (the
land of Ragha mentioned in the text cannot be Median Raghiana). Furthermore, it
has been noted (Gershevitch, 1964) that if the authors had been Magi the
absence of any reference to western Iranian institutions, including their own
priesthood, would be very strange.
  The Magi were above all the means by which the Zoroastrian tradition and the
corpus of the Avesta have been transmitted to us, from the second half of the
first millennium BCE on. This has been their principal merit. We can attribute
directly to the Magi the new formulation that Iranian dualism assumed, known to
us especially from Greek sources and, in part, from the Pahlavi literature of
the ninth and tenth centuries CE. According to this formulation, the two poles
of the dualism are no longer, as in the Gathas, Spenta Mainyu (""beneficent
spirit"") and Angra Mainyu (""hostile spirit"") but Ahura Mazda himself and Angra
Mainyu (Gershevitch, 1964). [See Ahura Mazda and Angra Mainyu.] This trans-
formation was of immense consequence for the historical development of Zoro-
astrianism and was most likely determined by the contact of the Magi with the
Mesopotamian religious world. In this new dualism - which was that later known
to the Greeks (Aristotle, Eudemus of Rhodes, Theopompus, and others) - we can
see the affirmation of a new current of thought within Zoroastrianism, to which
we give the name Zurvanism. [See Zurvanism.]
  Thanks to their adherence to Zoroastrianism, the Magi played an enormously
important role in the transmission of Zarathushtra's treachings, as well as in
the definition of the new forms that these would assume historically. Their
natural propensity to eclecticism and syncretism also helped the diffusion of
Zoroastrian ideas in the communities of the Iranian diaspora. The Greeks began
to study their doctrines and to take an interest in them (Xanthus of Lydia,
Hermodorus, Aristotle, Theopompus, Hermippus, Dinon), even writing treatises
on the Persian religion, of which only the titles and a few fragments have
survived. In the Hellenistic period, the Magi were seen as a secular school of
wisdom, and writings on magic, astrology, and alchemy were lent the authority
of such prestigious names as Zarathushtra, Ostanes, and Hystaspes, forming an
abundant apocryphal literature. (Bidez and Cumont, 1938).
  Later still, eschatology and apocalyptics were a fertile meeting
ground for Iranian and Judeo-Christian religions, as can be seen in the famous
_Oracles of Hystaspes_, a work whose Iranian roots are undeniable and which
most likely dates from the beginning of the Christian era, probably the
second century CE (Widengren, 1968). The Zoroastrian doctrine of the Savior of
the Future (Saoshyant) was the basis for the story of the coming of the Magi
to Bethlehem in the _Gospel of Matthew_ (2:1-12). [See Saoshyant.]
  The Sasanid period saw the Magi once again play a determining role in the
religious history of Iran. Concerned to win back the western Magi (de Menasce,
1956), and eager to consolidate Zoroastrianism as the national religion of
Iran, the priests of Iranian sanctuaries in Media and Persia were able to
establish a true state church, strongly hierarchical and endowed with an
orthodoxy based on the formation of a canon of scriptures. The leading figures
in the development of a state religion and of Zoroastrian orthodoxy were Tosar
and Kerder, the persecutors of Mani in the third century."
18,alt.atheism,"In <lsran6INN14a@exodus.Eng.Sun.COM> emarsh@hernes-sun.Eng.Sun.COM (Eric 











Huh?  Please explain.  Is there a problem because I based my morality on 
something that COULD be wrong?  Gosh, there's a heck of a lot of stuff that I 
believe that COULD be wrong, and that comes from sources that COULD be wrong. 
What do you base your belief on atheism on?  Your knowledge and reasoning? 
COuldn't that be wrong?

MAC
--
****************************************************************
                                                    Michael A. Cobb
 ""...and I won't raise taxes on the middle     University of Illinois
    class to pay for my programs.""                 Champaign-Urbana
          -Bill Clinton 3rd Debate             cobb@alexia.lis.uiuc.edu"
19,talk.religion.misc,"
Not entirely.  Its not a premise, its a conclusion.  Second, that scientists
(for the most part) exlude the possibility is not a problem, its a necessity. 
Scientists are empircists, not theologians.


So do scientists, and long before you did.  Clearly you have a deep and 
fundamental misunderstanding of science.


Absolutely and utterly false (except for some were AMHs). Lucy (Australopithecus
afarensis, ca. 3 to 3.25 mya) is 40% complete, and about 80% taking into 
consideration bilateral symmetry.  Lucy walked upright and bipedally, just 
like humans, and the two share a remarkably similar dental pattern.  Her
cranial morphology is unlike humans or modern apes.  There are hundreds of 
other specimens of this and other species, of which only some are *partially* 
reconstructed.  They exist Bill.  You can touch them, feel them, hold them.  
But forget hominids.  The earth, the universe, the cultural record all look and 
test out as ancient indeed.  They are not reconstructions.  Has God has tricked
us here too?  It won't go away, Bill.
  


So *you* and other fundamentalists say.  What about the billions who don't 
say so?  Beware of people who say they have the truth, Bill, and reconsider
each time you think you do.


That was not your point, Bill.  Your point above was God *has* the power ....
Scientists generally agree with that.  That's a far cry from saying God did.
Please attempt to understand your own posts.
 

I have your info, and I have replied - several days ago.  Hope you have it.  
Somehow your post above appeared at my server only today.
"
20,alt.atheism,"

Not necessarily, especially if the rapist is known as such.  For instance,
if you intentionally stick your finger into a loaded mousetrap and get
snapped, whose fault is it?"
21,alt.atheism,"
Craig-

I thought it was derived from a Greek acronym.  My Greek isn't up to much, but
it goes something like this:

	Jesus Christ, God => Iesus CHristos, THeos => Ichthos

which is the Greek for ""fish"" (as in, eg ""ichthysaurus"").

Apologies for my dreadful Greek!  Perhaps someone will correct it.

By the way, what does your sig mean?"
22,talk.religion.misc,"}>}>}(a) out of context;
}>}>Must have missed when you said this about these other ""promises of god"" that we keep
}>}>getting subjected to.  Could you please explain why I am wrong and they are OK?
}>}>Or an acknowledgement of public hypocrisy. Both or neither.
}>}
}>}So, according to you, Jim, the only way to criticize one person for
}>}taking a quote out of context, without being a hypocrite, is to post a
}>}response to *every* person on t.r.m who takes a quote out of context?
}>
}>Did I either ask or assert that?  Or is this your misaimed telepathy at work again?
}
}(1)  Stephen said you took a quote out of context
}(2)  You noted that Stephen had not replied to some other t.r.m article
}     (call it A) that took a quote out of context
}(3)  But the lack of evidence for X does not constitute evidence for the
}     lack of X  (a common creationist error)
}(4)  So the fact that Stephen did not reply to A does not justify the
}     conclusion that Stephen condoned taking quotes out of context in A

Excellent.  Now under what conditions could such a conclusion be made, other
than a direct assertion by his part.  For instance, am I to assume that
you have no position on eating shit merely because you have not said
your position, or might a conclusion be made by observing that you do not.

}(7)  I assumed you were being logical, and that the sentence that begins
}     ""Could you please explain ..."" was not a nonsequitur, but was intended
}     to follow from the sentence that preceded it.

}Is that better Jim?   It's called an argument.  If you disagree with it,
}explain why the argument is not sound.  (I admit that my assumption in (7)
}may have been a bit hasty.)  If you agree with it, just say ""yup."""
23,alt.atheism,"

I agree, I reckon it's television and the increase in fundamentalism.. You
think its the increase in pre-marital sex... others thinks its because
psychologists have taken over the criminal justice system and let violent
criminals con them into letting them out into the streets... others think
it's the increase in designer drugs... others think it's a communist plot.
Basically the social interactions of all the changing factors in our society
are far too complicated for us to control. We just have to hold on to the
panic handles and hope that we are heading for a soft landing. But one
things for sure, depression and the destruction of the nuclear family is not
due solely to sex out of marriage.

Jeff.
"
24,alt.atheism,"

As to what that headpiece is....

(by chort@crl.nmsu.edu)

SOURCE: AP NEWSWIRE

The Vatican, Home Of Genetic Misfits?

Michael  A. Gillow, noted geneticist, has revealed  some unusual  data
after working undercover in  the Vatican for the past 18 years.   ""The
Popehat(tm) is actually an advanced bone spur."", reveals Gillow in his
groundshaking report. Gillow, who had  secretly  studied the innermost
workings of the Vatican since returning from Vietnam in a wheel chair,
first approached the scientific community with his  theory in the late
1950's.

""The  whole hat  thing, that was just a cover  up. The  Vatican didn't
want the Catholic Community(tm) to realize  their  leader  was hefting
nearly  8 kilograms of extraneous  bone  tissue on    the  top of  his
skull."", notes Gillow in his report. ""There are whole  laboratories in
the  Vatican  that experiment with tissue  transplants and bone marrow
experiments.  What started as a genetic fluke in the mid 1400's is now
scientifically engineered and bred for. The whole bone transplant idea
started  in  the  mid   sixties  inspired  by   doctor  Timothy  Leary
transplanting deer  bone cells into small white rats."" Gillow is quick
to point  out  the  assassination attempt on Pope John Paul II and the
disappearance of Dr.  Leary from the public eye.

""When it becomes time to replace the pope"", says Gillow, ""The old pope
and the replacement pope are  locked  in a padded  chamber. They  butt
heads much  like  male yaks  fighting for dominance of the  herd.  The
victor emerges and has  earned the privilege of inseminating the choir
boys.""


P."
25,alt.atheism,"Thanks to whoever posted this wonderful parody of people who post without 
reading the FAQ!  I was laughing for a good 5 minutes.  Were there any 
parts of the FAQ that weren't mentioned?  I think there might have been one
or two...

Please don't tell me this wasn't a joke.  I'm not ready to hear that yet..."
26,talk.religion.misc,"There are actually a few important things we can glean from this mess:
1)	When they start getting desperate for an answer to the question: ""What's
it all about. Mr. Natural?"", pinkboys will buy darn near *anything*, which
means:
2)	There's still plenty of $$$$ to be made in the False Jesus business
by enterprising SubGenii.  Just remember that:
3)	Once you've separated the pinks from their green, don't blow it all
on automatic weapons from Mexico.  Put it in a Swiss bank account.  Smile a
lot.  Have your flunkies hand out flowers in airports.  The Con will just
shrug you off as long as:
4)	You never, never, NEVER start to believe your own bulldada!  If
""David Koresh"" hand't started swallowing his own ""apocalypso now"" crap, he'd
be working crossword puzzles in the Bahamas today instead of contributing to
the mulch layer in Waco.  This is because:
5)	When you start shooting at cops, they're likely to shoot back.  And 
most of 'em are better shots than you are.

	In short:
	- P.T. Barnum was right 
		and
	- Stupidity is self-correcting
Thus endeth the lesson."
